timestamp,stage,dataset,method,run_idx,seed,eval_seed,num_runs,F1Mi_mean,F1Mi_std,F1Ma_mean,F1Ma_std,robust_score,robust_score_std,params_json,metric,baseline_method,target_method,test_name,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,p_value,p_value_holm,p_value_paired_ttest,effect_size,effect_size_name,cohen_dz,rank_biserial,significant,notes
2026-05-22 01:05:00,run,CiteSeer,ifl-gr,2,38110,38110,,0.704000,0.003100,0.630000,0.011600,0.702450,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""eval_repeats"": 3, ""eval_seed"": 38110, ""max_du_per_node"": 12, ""seed"": 38110, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-22 01:05:27,run,CiteSeer,ifl-gr,3,38111,38111,,0.717100,0.003500,0.648100,0.017700,0.715350,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""eval_repeats"": 3, ""eval_seed"": 38111, ""max_du_per_node"": 12, ""seed"": 38111, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-22 01:05:55,run,CiteSeer,ifl-gr,4,38112,38112,,0.714700,0.011900,0.652900,0.015500,0.708750,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""eval_repeats"": 3, ""eval_seed"": 38112, ""max_du_per_node"": 12, ""seed"": 38112, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-22 01:06:23,run,CiteSeer,ifl-gr,5,38113,38113,,0.717900,0.006600,0.663500,0.000500,0.714600,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""eval_repeats"": 3, ""eval_seed"": 38113, ""max_du_per_node"": 12, ""seed"": 38113, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-22 01:06:52,run,CiteSeer,ifl-gr,6,38114,38114,,0.709200,0.001900,0.657900,0.005200,0.708250,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""eval_repeats"": 3, ""eval_seed"": 38114, ""max_du_per_node"": 12, ""seed"": 38114, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-22 01:07:20,run,CiteSeer,ifl-gr,7,38115,38115,,0.718100,0.007700,0.658100,0.011700,0.714250,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""eval_repeats"": 3, ""eval_seed"": 38115, ""max_du_per_node"": 12, ""seed"": 38115, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-22 01:07:48,run,CiteSeer,ifl-gr,8,38116,38116,,0.712600,0.006100,0.655400,0.009200,0.709550,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""eval_repeats"": 3, ""eval_seed"": 38116, ""max_du_per_node"": 12, ""seed"": 38116, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-22 01:08:15,run,CiteSeer,ifl-gr,9,38117,38117,,0.714000,0.011200,0.644600,0.011600,0.708400,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""eval_repeats"": 3, ""eval_seed"": 38117, ""max_du_per_node"": 12, ""seed"": 38117, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-22 01:08:43,run,CiteSeer,ifl-gr,10,38118,38118,,0.723100,0.004900,0.648000,0.013200,0.720650,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""eval_repeats"": 3, ""eval_seed"": 38118, ""max_du_per_node"": 12, ""seed"": 38118, ""similarity_percentile"": 99.3, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=2; base_robust=0.706567
2026-05-22 01:09:11,run,CiteSeer,ifl-gc,1,38109,38109,,0.711100,0.006800,0.648900,0.014000,0.707700,,"{""beta"": 2.5, ""corrected_ramp_epochs"": 30, ""drop_edge_rate_1"": 0.2, ""drop_edge_rate_2"": 0.0, ""drop_feature_rate_1"": 0.3, ""drop_feature_rate_2"": 0.2, ""eval_repeats"": 3, ""eval_seed"": 38109, ""gca_drop_scheme"": ""degree"", ""gca_pr_k"": 200, ""iflgc_refl_du_weight"": 0.6, ""max_du_per_node"": 8, ""seed"": 38109, ""similarity_percentile"": 99.5, ""similarity_threshold"": null, ""tau"": 0.7, ""unlabeled_weight"": 0.3, ""update_interval"": 3, ""use_mutual_topk"": true, ""warmup_epochs"": 80}",,,,,,,,,,,,,,,,,,base_source=full_pipeline; base_path=results/citeseer_full_pipeline_results.csv; base_rank=3; base_robust=0.714933
